region,village_slug,village_name,lat,lng
spiti,langza,Langza,32.275597,78.085816
spiti,kibber,Kibber,32.3333,78.0167
spiti,komic,Komic,32.232887,78.109881
spiti,tabo,Tabo,32.093959,78.383669
spiti,dhankar,Dhankar,32.090578,78.214933
spiti,mudh,Mudh,31.959002,78.032411
spiti,losar,Losar,32.438246,77.75013
spiti,nako,Nako,31.8667,78.6167
spiti,chicham,Chicham,32.35,78.0167
spiti,hikkim,Hikkim,32.247204,78.099879
spiti,rangrik,Rangrik,32.255585,78.023818
spiti,shego,Shego,32.178973,78.099992
spiti,lalung,Lalung,32.15,78.2
spiti,gette,Gette,32.3026,78.0196
spiti,tashigang,Tashigang,32.293876,78.054648
spiti,morang,Morang,32.315,77.9531
spiti,gulling,Gulling,32.0,78.0
spiti,sagnam,Sagnam,32.033109,78.056729
spiti,mane-yogma,Mane Yogma,32.1,78.2
spiti,kaza,Kaza,32.2265,78.0569
spiti,tandi,Tandi,32.556087,76.974713
spiti,reckong-peo,Reckong Peo,31.5334,78.2611
spiti,powari,Powari,31.554,78.2825
spiti,tapri,Tapri,31.5171,78.0975
spiti,narkanda,Narkanda,31.2548,77.4613
spiti,sangla,Sangla,31.4306,78.2667
spiti,chandratal,Chandratal,32.4818,77.6203
ladakh,wanla,Wanla,34.2494,76.8311
ladakh,gya,Gya,33.65,77.7333
ladakh,shara,Shara,33.783545,77.890151
ladakh,takmachik,Takmachik,34.38197,76.762114
ladakh,achinathang,Achinathang,34.504542,76.631967
ladakh,skampuk,Skampuk,34.6237,77.435
ladakh,tia,Tia,34.345347,76.970022
ladakh,chiktan,Chiktan,34.4702,76.5102
ladakh,tangtse,Tangtse,34.0302,78.1677
ladakh,chulungkha,Chulungkha,34.823122,76.93525
ladakh,bhimbat,Bhimbat,34.433222,75.817907
ladakh,mushkoo,Mushkoo,34.4276,75.7517
ladakh,skurbuchan,Skurbuchan,34.435029,76.70912
ladakh,tegar,Tegar,34.6365,77.6146
ladakh,tirith,Tirith,34.54059,77.642832
ladakh,charasa,Charasa,34.6823,77.5482
ladakh,garkon,Garkon,34.635,76.431
ladakh,saspol,Saspol,34.246611,77.163966
ladakh,dah,Dah,34.623813,76.480422
ladakh,chumathang,Chumathang,33.358884,78.334291
ladakh,sumur,Sumur,34.618559,77.613253
ladakh,turtuk,Turtuk,34.847,76.827
ladakh,spangmik,Spangmik,33.907194,78.4573
ladakh,merak,Merak,33.797371,78.59121
ladakh,man-pangong,Man,33.861,78.526
ladakh,alchi,Alchi,34.2236,77.1741
ladakh,leh,Leh,34.1526,77.5771
ladakh,zingzingbar,Zingzingbar,32.7919,77.3244
ladakh,khardung,Khardung,34.398586,77.656855
ladakh,diskit,Diskit,34.551228,77.550655
ladakh,karu,Karu,33.9167,77.7417
ladakh,tandi,Tandi,32.5561,76.9747
ladakh,nyoma,Nyoma,33.205481,78.649658
ladakh,khalsi,Khalsi,34.320078,76.879303
ladakh,kargil,Kargil,34.5594,76.1256
ladakh,hunder,Hunder,34.584,77.471
ladakh,sarchu,Sarchu,32.89,77.53
ladakh,rumtse,Rumtse,33.632,77.755
ladakh,miru,Miru,33.739746,77.756421
zanskar,padum,Padum,33.4652,76.8887
zanskar,zangla,Zangla,33.658587,76.991458
zanskar,karsha,Karsha,33.531443,76.905017
zanskar,ichar,Ichar,33.305531,76.997632
zanskar,reru,Reru,33.33213,76.969175
zanskar,pidmo,Pidmo,33.69205,76.922834
zanskar,pishu,Pishu,33.629146,76.983727
zanskar,anmu,Anmu,33.247822,77.073482
zanskar,cha,Cha (Chah),33.243958,77.12609
zanskar,dorzang,Dorzang,33.29147,77.016784
zanskar,lingshed,Lingshed,33.903839,76.824651
zanskar,stongdey,Stongdey,33.5178,76.9734
zanskar,sani,Sani,33.508536,76.809413
zanskar,pipiting,Pipiting,33.480427,76.890103
zanskar,purne,Purne,33.234493,77.144272
zanskar,kargyak,Kargyak,33.063656,77.226804
zanskar,sankoo,Sankoo,34.28968,75.96222
zanskar,panikhar,Panikhar,34.118674,75.946756
zanskar,parkachik,Parkachik,34.090201,75.991207
zanskar,rangdum,Rangdum,34.036195,76.371995
sikkim,tingvong,Tingvong,27.5,88.55
sikkim,rumlyang,Rumlyang,27.5,88.55
sikkim,passingdang,Passingdang,27.4924,88.5282
sikkim,lingdong,Lingdong,27.49,88.53
sikkim,lingthem,Lingthem,27.522891,88.501328
sikkim,yangang,Yangang,27.3,88.433
sikkim,kewzing,Kewzing,27.2925,88.3594
sikkim,yangsum,Yangsum,27.2422,88.2709
sikkim,martam,Martam,27.2625,88.5564
sikkim,hattaban,Hattaban,27.26,88.095
sikkim,okhrey,Okhrey,27.26,88.095
sikkim,uttarey,Uttarey,27.26,88.095
sikkim,assam-lingzey,Assam Lingzey,27.2914,88.5915
sikkim,darap,Darap,27.3063,88.1862
sikkim,pastanga,Pastanga,27.2914,88.5915
sikkim,tinkitam,Tinkitam,27.2925,88.3594
sikkim,selep,Selep,27.2925,88.3594
sikkim,barfung,Barfung,27.2925,88.3594
sikkim,borong-polok,Borong Polok,27.2925,88.3594
sikkim,zuluk,Zuluk,27.251,88.775
sikkim,lachen,Lachen,27.7167,88.55
sikkim,lachung,Lachung,27.69,88.746
sikkim,nathang-valley,Nathang Valley,27.3001,88.8201
sikkim,yuksom,Yuksom,27.3724,88.223
sikkim,gangtok,Gangtok,27.3389,88.6065
sikkim,mangan,Mangan,27.49237,88.52823
sikkim,singtam,Singtam,27.231997,88.497084
sikkim,legship,Legship,27.27,88.27
sikkim,jorethang,Jorethang,27.131523,88.282535
zanskar,dibling,Dibling,33.9619,76.6457
ladakh,sumda-chenmo,Sumda Chenmo,34.1157,77.0883
sikkim,kusong,Kusong,27.5150,88.5350
sikkim,sakyong-pentong,Sakyong-Pentong,27.5697,88.4082
